Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,District,Price
450,55,2,2,1,1,1,0,1,Bras,327000
0,60,2,1,0,1,0,0,0,Cursino,400000
150,40,2,1,0,0,1,0,0,Ermelino Matarazzo,169900
420,58,2,2,1,1,0,0,1,Vila Prudente,277000
550,91,3,3,2,2,0,0,1,Vila Prudente,698000
0,62,3,2,1,1,1,1,1,Vila Guilherme,399000
380,75,3,2,1,2,0,0,1,Sao Lucas,450000
380,50,2,2,1,1,1,0,1,Se,240000
235,45,2,2,1,1,1,0,1,Freguesia do O,250000
420,46,2,1,0,1,0,0,0,Tatuape,335000
0,43,2,2,1,1,1,0,1,Parque do Carmo,199900
350,49,2,2,1,1,1,0,1,Pirituba,269000
667,75,2,1,0,1,0,0,0,Vila Formosa,320000
500,52,2,1,0,1,0,0,0,Vila Matilde,290000
643,61,2,1,0,1,1,0,1,Bela Vista,560000
0,40,2,1,0,0,0,0,0,Vila Prudente,200000
170,40,2,1,0,0,0,0,0,Parque do Carmo,152900
390,51,2,2,1,1,1,0,1,Jacana,290600
370,64,2,2,1,1,1,0,1,Sao Lucas,330000
350,65,3,2,1,1,0,0,1,Vila Prudente,340000
350,47,2,2,1,1,1,0,0,Aricanduva,225000
210,44,2,1,0,1,0,0,0,Vila Curuca,230000
320,55,3,1,0,0,0,0,0,Grajau,260000
300,36,1,2,1,1,1,0,1,Bela Vista,349000
352,42,1,1,0,0,0,0,0,Se,180000
805,75,3,2,1,2,1,0,1,Vila Formosa,620000
0,72,2,2,1,1,0,0,0,Mandaqui,425000
0,50,2,2,1,1,0,0,0,Capao Redondo,300000
390,75,2,2,1,2,0,0,0,Sao Lucas,410000
200,47,2,1,0,1,0,0,0,Cidade Ademar,230000
425,49,2,2,1,1,0,0,0,Aricanduva,329000
640,75,3,1,0,1,0,0,0,Mandaqui,330000
605,56,2,2,1,1,0,0,1,Rio Pequeno,320000
0,57,2,2,1,1,1,0,1,Bras,392362
0,66,2,2,1,1,0,0,0,Liberdade,635792
290,63,2,1,0,1,0,0,0,Sao Rafael,182000
1093,70,2,2,1,2,1,0,0,Guaianazes,450000
600,82,3,2,1,2,1,0,0,Casa Verde,360000
0,74,2,1,0,1,0,0,1,Tucuruvi,410000
0,57,2,2,1,1,0,0,0,Sao Rafael,190000
400,66,2,2,1,1,1,1,0,Medeiros,230000
245,48,2,1,0,1,0,0,1,Parque do Carmo,200000
650,72,3,2,1,2,1,1,0,Morumbi,400000
633,48,1,2,1,2,1,1,1,Morumbi,263000
250,45,2,2,1,1,1,0,0,Cambuci,229000
200,45,2,1,0,1,0,0,0,Aricanduva,228000
750,70,3,2,1,2,0,1,1,Vila Andrade,370000
960,107,3,1,0,1,0,0,0,Bom Retiro,450000
0,60,2,2,1,2,1,0,1,Vila Guilherme,435000
400,48,2,2,1,1,1,0,1,Cidade Lider,215000
0,65,3,2,1,1,1,0,1,Socorro,237720
215,52,2,2,1,1,0,0,0,Sao Rafael,160000
600,42,1,1,0,1,0,0,1,Pinheiros,498000
0,51,2,2,1,1,1,0,1,Vila Maria,308177
370,59,3,2,1,1,0,0,1,Liberdade,359000
518,51,1,1,0,1,0,1,1,Campo Belo,590000
0,56,2,2,1,1,1,0,1,Vila Prudente,250000
350,51,2,2,1,1,0,0,0,Cidade Lider,210000
220,60,2,1,0,1,0,0,0,Cidade Lider,212000
150,47,2,1,0,2,0,0,0,Cidade Tiradentes,138000
0,53,2,2,1,1,0,0,0,Jardim Sao Luis,235000
250,47,2,1,0,1,0,0,1,Itaquera,235000
550,49,2,1,0,1,0,0,0,Bom Retiro,370000
480,60,2,2,1,1,0,0,0,Campo Grande,360000
0,40,2,2,1,1,1,0,0,Vila Matilde,229000
0,52,2,2,1,2,0,0,0,Tucuruvi,420000
272,34,2,1,0,0,0,0,0,Barra Funda,212530
800,79,3,2,1,2,1,0,1,Vila Maria,690000
450,62,2,2,1,2,0,1,1,Vila Andrade,430000
0,55,2,2,1,1,1,0,1,Vila Mariana,560000
400,54,2,2,1,1,1,0,1,Vila Jacui,346218
650,81,3,2,1,2,1,1,1,Freguesia do O,680000
260,51,2,1,0,1,0,0,0,Vila Curuca,202500
0,74,2,1,0,1,0,0,0,Mandaqui,580000
600,66,2,2,1,1,1,0,1,Butanta,627000
150,45,2,1,0,1,1,0,0,Cidade Tiradentes,140000
550,88,3,2,1,2,0,0,1,Vila Formosa,680000
500,60,2,2,1,1,0,0,0,Jacana,250000
400,63,2,2,1,1,0,0,0,Vila Maria,424000
350,48,2,2,1,1,1,0,0,Penha,269000
0,58,2,2,1,2,0,0,0,Brasilandia,315000
195,35,1,1,0,1,0,0,0,Vila Prudente,215000
230,60,2,2,1,1,0,1,0,Perdizes,528500
100,50,2,1,0,1,1,0,0,Aricanduva,195000
330,35,1,2,1,1,1,0,1,Capao Redondo,235000
0,40,2,1,0,1,0,0,1,Sao Mateus,189000
220,50,2,2,1,1,0,0,0,Pedreira,190000
550,49,2,1,0,1,0,1,0,Campo Grande,259000
0,39,1,2,1,1,1,0,1,Republica,571258
150,47,2,2,1,1,0,0,0,Lajeado,160000
550,50,2,2,1,1,1,1,0,Carrao,230000
790,72,2,2,1,1,1,0,0,Bela Vista,460000
650,70,2,1,0,1,0,0,1,Jabaquara,455000
450,66,2,1,0,0,0,0,0,Santa Cecilia,350000
0,74,3,2,1,2,1,0,1,Sacoma,458900
1500,36,1,1,0,1,0,0,1,Bela Vista,350000
293,60,2,2,1,1,0,0,0,Jardim Angela,371000
0,54,2,2,1,1,0,0,0,Sao Rafael,185000
358,63,2,1,0,1,0,0,0,Alto de Pinheiros,375000
227,47,2,2,1,1,1,0,0,Cangaiba,220000
700,70,3,2,1,2,1,1,1,Tucuruvi,550000
0,45,2,1,0,1,0,0,0,Jacana,266045
0,43,2,2,1,1,0,0,0,Perus,239000
500,54,2,2,1,1,1,0,0,Pirituba,240000
480,49,2,2,1,1,1,1,1,Vila Guilherme,290000
560,57,1,1,0,0,1,0,0,Republica,350000
390,61,3,2,1,1,0,0,1,Sao Lucas,327000
290,56,2,2,1,1,0,0,0,Pedreira,243000
150,40,2,2,1,1,1,0,0,Vila Matilde,235000
0,48,2,1,0,1,0,0,0,Artur Alvim,150000
405,54,2,1,0,1,0,0,1,Carrao,330000
0,47,2,2,1,1,1,0,1,Parque do Carmo,206000
0,80,3,3,1,2,1,0,1,Medeiros,310800
306,75,1,1,0,0,0,0,0,Se,270000
550,56,2,2,1,1,1,0,0,Rio Pequeno,320000
550,80,3,3,1,2,1,1,1,Vila Maria,648000
490,64,2,2,1,1,1,0,1,Carrao,410000
420,57,2,2,1,1,1,0,1,Cidade Lider,255000
350,116,2,2,1,1,0,0,0,Santa Cecilia,630000
400,70,2,2,1,1,0,0,1,Mooca,526000
200,41,2,2,1,1,1,0,0,Cursino,169000
450,41,1,1,0,1,1,0,0,Pinheiros,425000
0,248,3,2,1,2,0,0,0,Jacana,650000
392,65,2,2,1,1,1,0,1,Aricanduva,455200
407,47,2,2,1,1,1,0,1,Vila Andrade,260000
500,100,2,2,1,1,0,0,1,Bras,450000
0,39,2,1,0,1,0,0,1,Vila Maria,259500
0,54,2,1,0,1,1,1,1,Ermelino Matarazzo,230000
440,64,1,2,0,0,0,0,0,Republica,430000
1,35,1,2,1,1,1,0,0,Cambuci,259900
400,40,1,2,1,1,0,0,1,Santa Cecilia,324900
378,70,2,2,1,1,1,0,1,Aricanduva,486000
350,63,3,2,1,1,0,0,1,Vila Maria,372775
350,62,2,2,1,1,0,0,0,Grajau,250000
440,60,3,2,1,1,0,0,0,Sao Lucas,309000
950,45,1,2,1,2,0,1,1,Agua Rasa,370000
350,46,2,2,1,1,0,0,0,Jardim Angela,262000
750,65,2,2,1,1,0,0,1,Brooklin,650000
300,49,2,2,1,1,0,0,1,Jardim Helena,276596
0,40,1,2,1,1,1,0,1,Vila Maria,230000
730,108,2,2,1,2,0,0,0,Tucuruvi,640000
350,63,3,2,1,1,0,0,1,Itaquera,299900
420,60,3,1,0,1,0,0,1,Sao Mateus,280000
501,68,3,2,1,1,0,0,1,Campo Limpo,290000
400,65,2,2,1,1,1,1,1,Republica,605000
400,40,1,2,1,1,1,0,1,Vila Leopoldina,367900
465,60,1,2,1,1,0,0,1,Bela Vista,580000
0,34,1,2,1,1,1,1,1,Barra Funda,310000
0,66,2,2,1,1,1,0,1,Penha,430000
450,45,1,1,0,1,0,0,0,Liberdade,430000
295,50,2,2,1,1,0,0,0,Jose Bonifacio,171000
80,40,2,2,1,1,0,0,0,Sao Miguel,185000
700,69,2,2,1,1,0,1,1,Liberdade,496000
350,76,3,2,1,2,1,0,0,Sao Lucas,410000
0,61,2,1,0,1,1,0,0,Campo Grande,395000
367,49,2,2,1,1,1,0,1,Vila Andrade,294000
292,48,2,1,0,1,0,0,1,Vila Prudente,260000
470,67,2,2,1,1,1,0,1,Bras,375000
0,56,1,2,1,1,0,0,1,Bom Retiro,362000
650,68,2,1,0,1,1,0,1,Mooca,340000
1000,119,3,3,1,2,1,0,1,Carrao,678900
230,41,2,1,0,1,0,0,1,Vila Prudente,213900
291,54,3,1,0,1,0,0,0,Cidade Lider,191000
150,41,2,1,0,0,0,0,0,Itaquera,149900
360,45,1,2,1,1,0,0,1,Bras,351849
0,65,3,2,1,1,1,1,1,Vila Guilherme,360000
445,55,3,2,1,1,1,0,0,Raposo Tavares,230000
454,48,2,2,1,1,0,0,0,Mandaqui,290000
400,74,2,1,0,1,0,0,0,Bela Vista,477000
700,70,3,2,1,1,1,1,1,Vila Guilherme,583000
350,67,3,2,1,1,0,0,1,Jacana,359000
393,48,2,1,0,1,0,0,0,Sao Lucas,245000
399,56,2,1,0,1,0,0,1,Cidade Lider,275000
350,43,2,1,0,0,0,0,0,Barra Funda,280000
260,60,3,2,1,1,1,0,1,Sao Mateus,239000
315,48,2,1,0,1,0,0,0,Sao Mateus,286000
490,45,2,1,0,1,0,0,1,Liberdade,280000
100,47,2,2,1,1,1,0,0,Vila Jacui,226100
0,41,2,2,1,1,1,0,1,Itaquera,169900
180,37,2,2,1,1,1,0,1,Liberdade,189003
395,66,2,2,1,1,0,0,0,Vila Guilherme,400000
0,70,2,2,1,1,1,0,1,Liberdade,563000
0,58,2,2,1,1,1,0,1,Saude,580000
0,65,3,2,1,2,0,1,0,Vila Maria,535000
0,64,2,2,1,1,0,0,1,Bras,400000
450,58,2,2,1,1,1,1,1,Jaragua,420000
600,70,3,2,1,1,1,0,1,Ipiranga,623092
180,41,2,2,1,1,1,1,0,Cursino,168000
320,63,2,1,0,1,1,0,0,Parque do Carmo,249000
365,44,2,2,1,1,0,1,0,Jardim Angela,220000
350,53,2,2,1,1,0,0,1,Casa Verde,380000
0,48,2,1,0,1,0,0,1,Ermelino Matarazzo,250000
440,48,2,1,0,1,1,0,0,Itaim Paulista,255000
0,54,2,2,1,1,0,0,0,Sao Miguel,195000
200,47,2,1,0,1,0,0,0,Guaianazes,138000
380,38,1,2,1,1,0,0,1,Liberdade,269000
120,45,2,1,0,1,0,0,0,Artur Alvim,172000
300,58,3,2,1,2,0,0,1,Sapopemba,470000
0,60,3,2,1,1,1,0,1,Mooca,369000
610,47,2,1,0,1,0,0,0,Campo Grande,290000
420,37,1,2,1,1,1,0,0,Republica,410000
600,96,3,1,0,1,0,0,0,Jacana,380000
620,52,2,1,0,1,0,0,1,Cangaiba,290000
0,59,3,2,1,1,0,0,1,Liberdade,350000
500,74,3,2,1,2,1,0,0,Sao Domingos,600000
400,65,3,2,1,1,0,0,1,Belem,379000
400,74,3,3,1,2,1,0,1,Vila Formosa,399000
390,53,2,1,0,1,0,0,0,Itaquera,200000
0,40,2,2,1,1,1,0,0,Itaquera,174000
130,90,2,2,1,1,0,0,0,Jardim Helena,250000
380,56,2,2,1,1,0,0,1,Belem,319900
200,68,1,1,0,0,0,0,0,Bela Vista,382000
189,53,2,2,1,1,0,0,0,Sao Rafael,190000
1150,180,3,5,3,2,1,0,0,Cidade Dutra,635000
560,55,2,2,1,1,1,1,1,Socorro,320000
0,41,2,2,1,1,0,0,1,Cachoeirinha,229000
166,50,2,2,1,1,0,0,0,Grajau,180000
896,61,2,2,1,1,0,0,1,Lapa,490000
0,51,2,2,1,2,1,0,1,Mandaqui,321000
200,60,2,2,1,1,0,0,0,Guaianazes,140000
593,68,1,2,1,1,0,0,0,Casa Verde,444400
700,77,3,2,1,2,0,0,1,Vila Guilherme,650000
370,64,2,2,1,2,1,0,1,Sao Lucas,325000
350,55,2,2,1,1,1,0,1,Lapa,403811
623,91,3,1,0,0,0,0,0,Consolacao,595000
160,42,2,1,0,1,0,0,0,Sapopemba,170000
1065,90,3,2,1,2,0,0,1,Casa Verde,560000
310,48,2,1,0,1,0,1,1,Jacana,236500
400,47,2,1,0,1,0,1,0,Cidade Lider,202000
0,56,2,1,0,1,1,0,1,Ermelino Matarazzo,291000
318,50,2,1,0,1,1,0,0,Se,222600
812,45,1,1,0,1,0,0,1,Moema,500000
380,55,2,1,0,1,0,1,1,Mandaqui,360000
170,43,2,2,1,1,0,0,0,Lajeado,150000
540,60,2,2,1,1,0,0,0,Campo Grande,280000
400,75,3,2,1,1,0,1,1,Pari,599000
400,75,3,2,1,2,1,0,0,Sao Lucas,450000
420,56,2,1,0,1,1,0,0,Bras,290000
410,70,3,2,1,1,0,0,0,Jardim Sao Luis,300000
0,95,4,2,1,1,0,0,1,Vila Sonia,440000
642,54,2,1,0,1,0,0,1,Jabaquara,360000
150,40,2,2,1,1,1,0,0,Vila Matilde,189000
400,56,3,1,0,1,0,0,0,Casa Verde,320000
300,57,2,2,1,1,1,1,0,Ermelino Matarazzo,255000
170,43,3,2,1,1,0,0,0,Lajeado,160000
250,44,2,2,1,1,1,1,1,Sao Mateus,200009
260,47,2,2,1,1,1,1,0,Cidade Ademar,315000
510,76,2,2,0,1,1,0,0,Republica,550000
0,47,2,1,0,1,1,1,1,Ponte Rasa,300000
350,64,3,2,1,2,1,0,1,Se,315479
550,66,2,2,1,1,1,0,1,Jaguare,370000
320,30,1,1,0,0,0,0,1,Republica,235000
2400,187,4,5,3,1,1,1,1,Vila Formosa,550000
200,41,2,1,0,1,0,0,0,Barra Funda,310000
679,54,2,2,1,2,0,0,1,Aricanduva,360000
360,57,2,1,0,1,0,0,1,Bras,340000
293,48,2,2,1,1,0,0,0,Capao Redondo,205000
604,84,3,2,1,2,0,0,1,Jaguare,570000
420,50,2,2,1,1,1,0,1,Socorro,350000
287,40,1,2,1,1,1,0,1,Republica,385000
270,47,2,2,1,1,0,0,1,Itaim Paulista,189000
500,54,2,1,0,1,0,0,0,Vila Prudente,330000
200,52,2,1,0,0,0,0,0,Grajau,245000
797,68,2,2,1,2,0,0,0,Jabaquara,420000
0,50,2,1,0,1,0,0,0,Barra Funda,369000
0,40,2,2,1,1,1,0,0,Itaquera,194200
336,42,2,1,0,1,0,0,1,Campo Limpo,200000
0,61,2,2,1,2,0,0,0,Cambuci,290309
660,60,3,1,0,1,0,1,1,Carrao,320000
0,64,2,2,1,1,1,0,1,Sacoma,361114
320,50,2,1,0,1,1,0,1,Ermelino Matarazzo,255000
180,41,2,2,1,1,1,0,1,Itaquera,174900
800,70,3,2,1,1,0,0,0,Casa Verde,320000
220,45,2,2,1,1,1,0,1,Parque do Carmo,199900
0,83,3,2,1,2,1,0,1,Barra Funda,531900
235,45,2,1,0,1,0,0,0,Vila Curuca,225000
400,64,2,2,1,1,0,0,1,Sao Lucas,370000
453,70,3,2,1,1,0,0,0,Cachoeirinha,265000
0,40,2,2,1,1,1,0,1,Jardim Helena,169000
180,45,2,2,1,1,1,0,0,Cambuci,240000
0,41,2,2,1,1,0,0,0,Itaim Paulista,170000
40,45,2,2,1,1,0,0,0,Cidade Tiradentes,90000
450,65,2,2,1,1,0,0,1,Vila Maria,400000
950,88,3,2,1,1,0,0,0,Casa Verde,680000
0,40,2,1,0,1,0,0,1,Jardim Helena,169000
500,40,1,1,0,1,0,0,1,Cangaiba,215000
0,68,3,2,1,1,0,0,1,Sapopemba,392000
511,45,1,1,0,1,0,0,0,Moema,440000
370,57,3,2,1,1,0,1,1,Itaquera,349000
300,49,2,2,1,1,1,0,1,Vila Prudente,295000
608,52,1,1,0,0,0,0,0,Liberdade,395000
90,35,2,2,1,1,0,0,0,Grajau,139000
360,59,3,2,1,1,0,0,1,Vila Maria,382000
350,49,2,1,0,1,0,0,0,Cidade Dutra,255000
370,57,2,1,0,1,0,0,0,Vila Formosa,250000
339,30,1,1,0,0,0,0,0,Bela Vista,200000
750,77,2,2,1,2,0,0,1,Campo Grande,510000
365,44,2,2,1,1,1,0,1,Jardim Helena,195000
460,57,2,2,1,1,1,1,1,Jaragua,455000
0,40,2,2,1,1,0,0,0,Brasilandia,184700
650,70,3,2,1,1,1,0,1,Jaguare,485000
0,45,2,2,1,1,1,0,0,Tatuape,280000
550,35,1,2,1,1,1,0,1,Vila Olimpia,560000
0,40,2,2,1,1,1,0,0,Ermelino Matarazzo,183017
210,31,1,1,0,0,0,0,0,Barra Funda,178000
400,45,2,2,1,1,0,0,1,Liberdade,299000
400,70,3,2,1,1,0,0,0,Grajau,250000
370,55,2,1,0,1,0,0,0,Belem,310000
697,63,2,2,1,1,0,0,0,Perdizes,564750
720,60,3,2,1,1,0,0,1,Capao Redondo,270000
390,53,2,2,1,1,1,0,1,Casa Verde,360000
750,66,3,2,1,2,1,0,1,Tucuruvi,390000
320,75,2,1,0,0,0,0,0,Santa Cecilia,340000
670,90,3,3,1,2,1,0,1,Casa Verde,675000
380,63,3,2,1,1,0,0,1,Sapopemba,285000
440,62,2,2,1,1,0,0,0,Vila Guilherme,335000
991,115,3,2,1,1,1,0,0,Bela Vista,692000
500,65,3,2,1,1,0,1,1,Bom Retiro,445000
434,62,2,2,1,0,1,0,1,Vila Prudente,365000
350,40,2,1,0,0,0,0,0,Liberdade,205000
600,97,3,2,1,2,0,0,1,Bom Retiro,680000
0,63,3,2,1,2,0,0,0,Agua Rasa,430000
0,58,2,2,1,1,0,0,1,Sao Mateus,239900
180,41,2,2,1,1,1,0,0,Cidade Lider,162000
0,65,2,2,1,1,1,0,1,Aricanduva,460000
300,50,2,2,1,1,1,1,0,Sao Mateus,195000
880,76,3,2,1,2,1,0,1,Casa Verde,520000
0,70,2,2,0,1,0,0,0,Se,555000
690,70,2,2,1,2,0,1,1,Barra Funda,600000
0,40,2,2,1,1,0,0,0,Brasilandia,184900
760,75,2,1,0,0,1,0,0,Liberdade,399000
500,60,2,1,0,1,1,0,0,Cidade Ademar,274000
430,58,1,1,0,0,0,0,0,Santa Cecilia,420000
450,38,1,2,1,1,1,0,1,Tatuape,395000
0,58,2,2,1,1,0,0,0,Sapopemba,320000
0,51,2,2,0,1,1,0,0,Vila Prudente,374900
150,46,1,1,0,1,0,0,0,Liberdade,269000
440,70,2,2,1,1,0,0,1,Penha,385000
330,55,2,1,0,1,0,0,0,Ermelino Matarazzo,230000
750,49,1,1,0,1,0,0,0,Itaim Bibi,640000
200,30,1,1,0,0,1,0,0,Republica,200000
428,60,3,2,1,1,1,0,1,Jacana,340466
0,38,2,2,1,1,0,0,0,Guaianazes,117810
0,76,3,2,1,1,1,0,0,Vila Prudente,550000
420,67,3,1,0,2,1,0,0,Barra Funda,560000
670,55,2,1,0,2,0,0,1,Cursino,430000
540,71,2,1,0,1,0,0,0,Belem,440000
550,65,2,1,0,1,0,0,1,Casa Verde,645000
0,66,2,2,1,1,0,0,0,Cursino,500000
323,60,2,2,1,1,0,0,1,Sao Lucas,240000
500,50,1,1,0,1,0,0,0,Consolacao,500000
550,63,3,2,1,1,1,1,1,Belem,480000
0,41,1,2,1,1,1,0,1,Bela Vista,513260
600,68,2,2,1,1,0,0,1,Mandaqui,404000
730,63,2,2,1,1,0,0,1,Penha,330000
0,64,3,2,1,1,1,0,1,Vila Maria,383958
490,43,1,1,0,1,0,0,0,Moema,440000
680,97,3,3,2,2,0,1,1,Bom Retiro,680000
800,49,2,1,0,1,0,0,1,Jabaquara,340000
430,54,2,2,1,1,1,0,1,Vila Curuca,270000
250,43,2,1,0,1,0,0,0,Campo Limpo,210000
487,146,4,2,1,1,1,0,1,Sapopemba,420000
750,67,2,2,1,1,0,0,1,Casa Verde,675000
0,52,2,1,0,1,0,0,1,Jacana,300000
480,56,1,1,0,1,0,1,0,Republica,340000
510,77,3,2,1,1,1,0,1,Raposo Tavares,346500
615,73,3,2,1,2,1,0,1,Tatuape,490000
600,67,3,2,1,1,1,1,1,Penha,565000
690,70,2,2,1,1,1,1,1,Tucuruvi,585000
0,48,2,2,1,1,0,0,0,Cidade Tiradentes,70000
200,34,2,1,0,0,0,0,0,Barra Funda,210000
550,62,2,1,0,0,0,0,0,Se,269900
400,95,3,2,1,2,0,0,1,Belem,661000
600,69,3,2,1,1,1,1,1,Freguesia do O,450000
465,57,3,2,1,1,1,0,1,Jaguare,320000
180,37,2,1,0,0,0,0,1,Liberdade,189001
200,50,2,2,1,1,0,0,0,Sao Rafael,200000
550,65,2,2,1,1,1,0,0,Sao Domingos,480000
0,63,2,2,1,1,0,0,1,Bras,380000
1635,70,2,3,1,2,0,0,1,Saude,410000
380,55,2,2,1,1,1,0,1,Pari,400000
0,38,1,2,1,1,1,0,1,Jose Bonifacio,240000
500,70,2,2,1,1,1,0,0,Barra Funda,550000
460,63,3,2,1,2,0,0,1,Cambuci,435000
600,86,2,1,0,1,0,0,0,Barra Funda,600000
270,46,2,1,0,1,0,0,1,Liberdade,291500
600,59,1,1,0,1,0,0,1,Brooklin,392500
150,42,2,2,1,1,0,0,0,Guaianazes,185000
1151,78,3,2,1,1,0,0,0,Moema,700000
372,73,3,2,1,1,0,0,1,Vila Matilde,425000
400,63,3,2,1,1,1,0,1,Penha,380000
400,66,2,2,1,1,1,0,1,Butanta,584000
823,97,3,3,1,2,1,1,1,Tatuape,699990
310,50,2,2,1,1,0,0,0,Grajau,240000
0,53,2,2,1,1,0,0,1,Limao,335000
530,56,3,2,1,1,0,0,0,Campo Limpo,318000
250,53,2,2,1,1,0,0,0,Guaianazes,165000
0,51,2,2,1,1,0,0,0,Vila Matilde,275000
0,51,2,2,1,1,1,0,1,Vila Maria,308177
0,112,3,2,1,2,0,0,0,Santo Amaro,700000
200,53,2,1,0,1,0,0,0,Sao Mateus,225000
150,40,2,1,0,0,1,0,0,Campo Limpo,155000
0,43,2,2,1,1,0,0,0,Perus,239000
569,50,2,1,0,1,0,1,0,Se,350000
400,45,2,1,0,1,1,0,0,Vila Curuca,230000
350,45,2,2,1,1,0,0,0,Jardim Angela,222000
330,69,2,2,1,1,0,0,1,Penha,270000
1100,82,1,2,1,2,1,1,1,Morumbi,495000
0,59,2,2,1,1,0,0,1,Tremembe,420000
0,77,3,2,1,2,1,0,1,Vila Andrade,399900
1030,96,3,2,1,1,0,0,1,Casa Verde,570000
272,34,1,1,0,0,0,0,0,Barra Funda,215000
280,48,2,1,0,1,1,0,0,Aricanduva,185000
0,60,2,1,0,1,1,0,1,Perdizes,638000
565,66,2,2,1,2,1,0,1,Vila Mariana,690000
0,43,2,2,1,1,1,0,0,Santo Amaro,199000
299,50,2,2,1,1,1,0,0,Campo Grande,320000
580,95,3,3,2,2,1,0,1,Raposo Tavares,670400
848,94,3,2,1,2,0,0,1,Santa Cecilia,695000
0,42,2,2,1,1,0,0,0,Cidade Tiradentes,110000
460,62,3,2,1,1,0,0,0,Cidade Ademar,380000
300,65,2,1,0,1,0,0,0,Sapopemba,285000
230,45,2,1,0,1,0,0,0,Campo Limpo,190000
0,51,2,2,1,1,1,0,0,Sao Lucas,280000
350,53,3,2,1,1,0,0,1,Vila Prudente,303000
0,60,2,2,1,1,0,0,0,Cidade Tiradentes,77000
400,50,2,2,1,1,1,0,0,Pedreira,290000
400,74,2,2,1,2,1,0,1,Medeiros,330000
0,44,2,2,1,1,1,1,1,Sacoma,399900
300,55,2,1,0,1,0,0,0,Ponte Rasa,250000
390,58,1,1,0,0,0,0,0,Se,280000
100,45,2,1,0,1,0,0,0,Jacana,213817
900,77,3,3,2,2,1,1,1,Raposo Tavares,455000
950,54,1,2,1,2,0,1,1,Bras,360000
320,49,2,1,0,1,0,0,0,Parque do Carmo,170000
285,50,2,1,0,1,1,0,0,Grajau,250000
490,71,3,2,1,1,1,0,1,Santo Amaro,380000
0,62,3,2,1,1,1,0,1,Penha,317886
0,170,3,2,1,1,0,0,0,Belem,480000
0,37,2,1,0,0,1,0,1,Liberdade,189000
0,50,2,2,1,2,1,0,1,Mandaqui,321000
0,60,2,2,1,1,1,0,1,Penha,399000
215,50,2,2,1,1,1,0,0,Tremembe,179000
0,70,3,2,1,1,0,0,0,Cangaiba,350000
460,38,1,1,0,0,0,0,0,Consolacao,305000
1000,103,3,3,1,2,0,0,0,Carrao,698500
550,77,3,2,1,1,1,0,1,Raposo Tavares,355000
440,55,3,2,1,1,0,0,1,Liberdade,500530
755,91,3,2,1,2,0,0,1,Mandaqui,620000
400,60,3,2,1,1,1,1,1,Vila Guilherme,319200
340,65,3,2,1,1,0,0,1,Itaquera,274999
0,56,2,2,1,1,1,0,1,Belem,319000
520,44,2,1,0,1,1,0,1,Bom Retiro,360000
678,68,3,2,1,2,0,0,1,Mandaqui,398000
504,81,3,2,1,2,1,1,1,Vila Formosa,655000
570,58,2,2,1,1,0,0,1,Bom Retiro,479000
